Site,phenoV
P.Avioso,0.00106421355245787
P.Cidade,0.000882132752508136
Matosinhos,0.00116558491733949
Mindelo,0.00112154976081549
P.Oriental,0.00117544024141731
Ramalde,0.00133508618130204
