,Avioso,Cidade,Matosinhos,Mindelo,Oriental,Ramalde
Avioso,0,0.08236625,0.07888116,0.09927462,0.07662155,0.14304267
Cidade,0.08236625,0,0.09790144,0.12752851,0.06961166,0.17136963
Matosinhos,0.07888116,0.09790144,0,0.06538224,0.11208192,0.11544173
Mindelo,0.09927462,0.12752851,0.06538224,0,0.13854081,0.06693436
Oriental,0.07662155,0.06961166,0.11208192,0.13854081,0,0.1874324
Ramalde,0.14304267,0.17136963,0.11544173,0.06693436,0.1874324,0
