,Avioso,Cidade,Matosinhos,Mindelo,Oriental,Ramalde
Avioso,0,0.006834863,0.03956331,0.02431934,0.019048851,0.024477643
Cidade,0.006834863,0,0.03272844,0.01748447,0.025883714,0.031312506
Matosinhos,0.039563306,0.032728443,0,0.01524397,0.058612157,0.064040949
Mindelo,0.024319336,0.017484473,0.01524397,0,0.043368187,0.048796979
Oriental,0.019048851,0.025883714,0.05861216,0.04336819,0,0.005428792
Ramalde,0.024477643,0.031312506,0.06404095,0.04879698,0.005428792,0
