,Avioso,Cidade,Matosinhos,Mindelo,Oriental,Ramalde
Avioso,0,0.018798494,0.013688123,0.019188119,0.019925063,0.024203834
Cidade,0.018798494,0,0.014895612,0.031609057,0.017091706,0.017309175
Matosinhos,0.013688123,0.014895612,0,0.024338995,0.012625025,0.015026011
Mindelo,0.019188119,0.031609057,0.024338995,0,0.023246987,0.033302487
Oriental,0.019925063,0.017091706,0.012625025,0.023246987,0,0.015636574
Ramalde,0.024203834,0.017309175,0.015026011,0.033302487,0.015636574,0
