,Avioso,Cidade,Matosinhos,Mindelo,Oriental,Ramalde
Avioso,0,0.9362141,0.987557,1.2655106,0.7331714,1.4547884
Cidade,0.9362141,0,1.455941,1.8742447,0.6599815,1.941617
Matosinhos,0.987557,1.4559413,0,1.0761007,1.3002187,1.2732403
Mindelo,1.2655106,1.8742447,1.076101,0,1.6586312,0.5071321
Oriental,0.7331714,0.6599815,1.300219,1.6586312,0,1.8759214
Ramalde,1.4547884,1.941617,1.27324,0.5071321,1.8759214,0
