Site,area_50m,imperv_100m,imperv_200m,imperv_400m,tree_100m,tree_200m,tree_400m,wood_100m,wood_200m,wood_400m
Mindelo,134830,1.2,4.3,12.1,37.6,32.7,24.6,0.210,0.184,0.13
Malta,37195,4.2,6.0,9.4,37.9,27.1,13.0,0.045,0.044,0.028
P.Avioso,46800,0.4,2.2,8.3,27.2,30.6,32.4,0.242,0.118,0.071
P.Real,29139,20.9,36.7,48.4,23.8,16.9,13.0,0.140,0.087,0.064
P.Cidade,29110,0.0,2.7,19.8,54.8,42.1,33.7,0.153,0.147,0.116
Matosinhos,15753,48.9,57.6,63.4,12.0,9.3,5.5,0.055,0.047,0.028
Ramalde,46982,33.1,39.0,50.1,10.6,9.3,5.9,0.112,0.118,0.075
P.Oriental,34675,20.3,24.3,27.2,24.9,20.6,14.1,0.293,0.272,0.197
