"","k","P.Avioso","Mindelo","P.Cidade","P.Oriental","Ramalde"
"1","Mindelo",0.45,NA,NA,NA,NA
"2","P.Cidade",0.54,0.5,NA,NA,NA
"3","P.Oriental",0.78,0.42,0.56,NA,NA
"4","Ramalde",0.5,0.27,0.59,0.58,NA
"5","Matosinhos",0.34,0.19,0.4,0.42,0.82
