"","Armadillidium","Lumbricus","Eluma","Porcellio","Milax","Nalassus","Allolobophora","Opogona","Nemobius","Polydesmus","Aporrectodea"
"Ramalde",0.5,0.25,0.125,0,0.125,0,0,0,0,0.25,0.0625
"Matosinhos",0.724137931034483,0.103448275862069,0,0.206896551724138,0.137931034482759,0,0.103448275862069,0.0344827586206897,0.0344827586206897,0,0
